,cd_indicador,nm_indicador,dc_formula_indicador,dc_conceito_indicador,dc_interpretacao_indicador,dc_nota_tecnica,in_visibilidade,cd_tipo_situacao,dt_atualizacao,cd_operador,cd_tipo_unidade_medida,cd_fonte,nm_completo_indicador,dc_periodicidade_indicador,dc_unidade_territorial,dc_serie_historica,dc_tag_indicador,dc_observacao_indicador,tx_fonte_indicador,in_consideracao_regiao
0,13.0,PIB per capita,"[{""caractere"":""PIB582"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""Pbp757"",""tipo"":""variavel""}]",,,,False,3,2019-01-30 15:40:38.830537,t010001,1,,,,,,,,,True
1,7.0,TEste de exclusão,"[{""caractere"":""FdÔC882"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""PcD784"",""tipo"":""variavel""},{""caractere"":""+"",""tipo"":""operador""},{""caractere"":""8"",""tipo"":""constante""},{""caractere"":""PcD784"",""tipo"":""variavel""},{""caractere"":""+"",""tipo"":""operador""},{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""PcD784"",""tipo"":""variavel""},{""caractere"":""+"",""tipo"":""operador""},{""caractere"":""8"",""tipo"":""constante""},{""caractere"":"")"",""tipo"":""agregador""}]",,,,True,3,2019-01-25 15:38:17.590074,t010001,2,,,,,,,,,True
2,1.0,Porcentagem da população com deficiência mental/intelectual em relação ao total de pessoas com deficiência,"[{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""PcDM60"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""PcD784"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100"",""tipo"":""constante""}]",Porcentagem da população com deficiência mental/intelectual em relação ao total de pessoas com deficiência,SALVAR IXXXXXXX,"Na contagem da população com deficiência, foi retirado o item ""alguma dificuldade"". Assim, a foi considerada pessoa com deficiência a que se enquadrava nos itens ""grande dificuldade"" e ""não consegue de modo algum"". A soma das porcentagens da população com deficiência mental/intelectual, auditiva, visual e motora pode dar um valor maior do que 100%, devido a especificidade desse indicador. Isto é, uma pessoa pode apresentar mais de uma deficiência.",True,3,2019-01-24 10:37:49.389301,t010001,1,,,,,,,,,True
3,5.0,TEste de exclusão,"[{""caractere"":""FdÔC882"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""("",""tipo"":""agregador""},{""caractere"":""FdÔC882"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""FdÔC882"",""tipo"":""variavel""},{""caractere"":"")"",""tipo"":""agregador""}]",,,,False,3,2019-01-25 13:40:50.882457,t010001,1,,,,,,,,,True
4,6.0,TEste de exclusão,"[{""caractere"":""FdÔC882"",""tipo"":""variavel""},{""caractere"":""+"",""tipo"":""operador""},{""caractere"":""PcD784"",""tipo"":""variavel""},{""caractere"":""-"",""tipo"":""operador""},{""caractere"":""3"",""tipo"":""constante""}]",,,,False,3,2019-01-25 15:36:10.068724,t010001,1,,,,,,,,,True
5,10.0,TESTE de EXCLUSÂO,"[{""caractere"":""Cik89"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""Cik89"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""Cik89"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""Cik89"",""tipo"":""variavel""}]",,,,False,3,2019-01-25 15:59:26.373523,t010001,1,,,,,,,,,True
6,8.0,TESTE de EXCLUSÂO,"[{""caractere"":""Cik89"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""Cik89"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""Cik89"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""Cik89"",""tipo"":""variavel""}]",,,,False,3,2019-01-25 15:50:32.179254,t010001,2,,,,,,,,,True
7,9.0,ESTE de EXCLUSÂO,"[{""caractere"":""Cik89"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""Cik89"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""Cik89"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""Cik89"",""tipo"":""variavel""},{""caractere"":""+"",""tipo"":""operador""},{""caractere"":""8"",""tipo"":""constante""}]",,,,False,3,2019-01-25 15:55:05.282340,t010001,1,,,,,,,,,True
8,4.0,CICLOVIAS IMPLANTADAS (KM),"[{""caractere"":""Cik89"",""tipo"":""variavel""}]",Considera-se a somatória de extensões de ciclovias implantadas no ano de referência. Não compreendem outras tipologias de vias cicláveis (ex. Rota de Bicicleta ou Ciclofaixas).,Quanto maior o indicador melhor resultado para a mobilidade e segurança no trânsito,1- Em ciclovias de duplo sentido em pista única é computada a extensão de um sentido apenas. 2 - As extensões indicadas representam apenas as implantações no ano de referência e não a totalidade de ciclovias existentes no município de São Paulo.,True,3,2019-01-28 10:36:21.155256,t010001,1,,,[],[],[],[],,[],True
9,12.0,Proporção de população com deficiência,"[{""caractere"":""PcD784"",""tipo"":""variavel""},{""caractere"":""/"",""tipo"":""operador""},{""caractere"":""Pbp757"",""tipo"":""variavel""},{""caractere"":""*"",""tipo"":""operador""},{""caractere"":""100"",""tipo"":""constante""}]",População com deficiência,"Quanto menor o indicador melhor a cobertura vacinal infantil, etc","Trata-se do número de indivíduos com deficiência física. O número para os anos posteriores a 2010 tratam-se de projeções, feitas a partir daquele, via resultados do Censo Demográfico.",True,3,2019-01-29 14:32:29.534270,t010001,2,,,[],[],"[""2000 - Atualmente""]","[""Cidade Inclusiva""]",,"[{""cd_fonte"":7,""nm_fonte"":""IBGE ""},{""cd_fonte"":8,""nm_fonte"":""Fundação SEADE""}]",True
